x,y,table_height,continuous_outcome,steps,camera_viewpoint
1.0,0.6,3.0,2.0,,right
0.2,0.0,3.0,2.5,,right
0.7,0.4,3.0,2.0,,right
0.6,0.3,3.0,2.0,,right
0.8,0.5,3.0,2.0,,right
0.4,0.1,3.0,2.5,,right
0.5,0.2,3.0,2.5,,right
1.0,0.6,3.0,,,backright
0.2,0.0,3.0,,,backright
0.7,0.4,3.0,,,backright
0.6,0.3,3.0,,,backright
0.8,0.5,3.0,,,backright
0.4,0.1,3.0,,,backright
0.5,0.2,3.0,,,backright
1.0,0.6,3.0,,,back
0.2,0.0,3.0,,,back
0.7,0.4,3.0,,,back
0.6,0.3,3.0,,,back
0.8,0.5,3.0,,,back
0.4,0.1,3.0,,,back
0.5,0.2,3.0,,,back